index:ID,biaozhun,:LABEL
10001,EN 10295-2002 耐热钢铸件,standard
10002,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,standard
10003,JB /T 6405-2018 大型不锈钢铸件 技术条件,standard
10004,JB /T 6402-2018 大型低合金钢铸件 技术条件,standard
10005,GB /T 1503-2008 铸钢轧辊,standard
10006,GB /T 8492-2014 一般用途耐热钢和合金铸件,standard
10007,GB /T 16253-2019 承压钢铸件,standard
10008,JB /T 6404-2017 大型高锰钢铸件 技术条件,standard
10009,GB /T 2100-2017 通用耐蚀钢铸件,standard
10010,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,standard
10011,JB /T 6405-2018 大型不锈钢铸件 技术条件,standard
10012,JB /T 6402-2018 大型低合金钢铸件 技术条件,standard
10013,GB /T 1503-2008 铸钢轧辊,standard
10014,GB /T 8492-2014 一般用途耐热钢和合金铸件,standard
10015,GB /T 16253-2019 承压钢铸件,standard
10016,JB /T 6404-2017 大型高锰钢铸件 技术条件,standard
10017,GB /T 2100-2017 通用耐蚀钢铸件,standard
10018,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,standard
10019,JB /T 6405-2018 大型不锈钢铸件 技术条件,standard
10020,JB /T 6402-2018 大型低合金钢铸件 技术条件,standard
10021,GB /T 1503-2008 铸钢轧辊,standard
10022,GB /T 5680-2010 奥氏体锰钢铸件,standard
10023,GB /T 16253-2019 承压钢铸件,standard
10024,JB /T 6404-2017 大型高锰钢铸件 技术条件,standard
10025,GB /T 8492-2014 一般用途耐热钢和合金铸件,standard
10026,JB /T 5100-1991 熔模铸造碳钢件 技术条件,standard
10027,JB /T 6403-2017 大型耐热钢铸件 技术条件,standard
10028,GB /T 2100-2017 通用耐蚀钢铸件,standard
10029,JB /T 6402-2018 大型低合金钢铸件 技术条件,standard
10030,GB /T 1503-2008 铸钢轧辊,standard
10031,GB /T 5680-2010 奥氏体锰钢铸件,standard
10032,GB /T 16253-2019 承压钢铸件,standard
10033,YB /T 036.4-1992 冶金设备制造通用技术条件——高锰钢铸件,standard
10034,GB /T 8492-2014 一般用途耐热钢和合金铸件,standard
10035,GB /T 16253-2019 承压钢铸件,standard
10036,JB /T 6403-2017 大型耐热钢铸件 技术条件,standard
10037,EN 10293-2005 铸钢件,standard
10038,GB /T 2100-2017 通用耐蚀钢铸件,standard
10039,JB /T 6402-2018 大型低合金钢铸件 技术条件,standard
10040,GB /T 1503-2008 铸钢轧辊,standard
10041,GB /T 5680-2010 奥氏体锰钢铸件,standard
10042,GB /T 16253-2019 承压钢铸件,standard
10043,GB /T 8492-2014 一般用途耐热钢和合金铸件,standard
10044,GB /T 16253-2019 承压钢铸件,standard
10045,JB /T 6403-2017 大型耐热钢铸件 技术条件,standard
10046,GB /T 2100-2017 通用耐蚀钢铸件,standard
10047,JB /T 6402-2018 大型低合金钢铸件 技术条件,standard
10048,GB /T 1503-2008 铸钢轧辊,standard
10049,GB /T 7659-2010 焊接结构用铸钢件,standard
