:START_ID,:END_ID,relation,:TYPE
1,10001,hasStandard,hasStandard
2,10002,hasStandard,hasStandard
3,10003,hasStandard,hasStandard
4,10004,hasStandard,hasStandard
5,10005,hasStandard,hasStandard
6,10006,hasStandard,hasStandard
7,10007,hasStandard,hasStandard
8,10008,hasStandard,hasStandard
9,10009,hasStandard,hasStandard
10,10010,hasStandard,hasStandard
11,10011,hasStandard,hasStandard
12,10012,hasStandard,hasStandard
13,10013,hasStandard,hasStandard
14,10014,hasStandard,hasStandard
15,10015,hasStandard,hasStandard
16,10016,hasStandard,hasStandard
17,10017,hasStandard,hasStandard
18,10018,hasStandard,hasStandard
19,10019,hasStandard,hasStandard
20,10020,hasStandard,hasStandard
21,10021,hasStandard,hasStandard
22,10022,hasStandard,hasStandard
23,10023,hasStandard,hasStandard
24,10024,hasStandard,hasStandard
25,10025,hasStandard,hasStandard
26,10026,hasStandard,hasStandard
27,10027,hasStandard,hasStandard
28,10028,hasStandard,hasStandard
29,10029,hasStandard,hasStandard
30,10030,hasStandard,hasStandard
31,10031,hasStandard,hasStandard
32,10032,hasStandard,hasStandard
33,10033,hasStandard,hasStandard
34,10034,hasStandard,hasStandard
35,10035,hasStandard,hasStandard
36,10036,hasStandard,hasStandard
37,10037,hasStandard,hasStandard
38,10038,hasStandard,hasStandard
39,10039,hasStandard,hasStandard
40,10040,hasStandard,hasStandard
41,10041,hasStandard,hasStandard
42,10042,hasStandard,hasStandard
43,10043,hasStandard,hasStandard
44,10044,hasStandard,hasStandard
45,10045,hasStandard,hasStandard
46,10046,hasStandard,hasStandard
47,10047,hasStandard,hasStandard
48,10048,hasStandard,hasStandard
49,10049,hasStandard,hasStandard
50,10050,hasStandard,hasStandard
51,10051,hasStandard,hasStandard
52,10052,hasStandard,hasStandard
53,10053,hasStandard,hasStandard
54,10054,hasStandard,hasStandard
55,10055,hasStandard,hasStandard
56,10056,hasStandard,hasStandard
57,10057,hasStandard,hasStandard
58,10058,hasStandard,hasStandard
59,10059,hasStandard,hasStandard
60,10060,hasStandard,hasStandard
61,10061,hasStandard,hasStandard
62,10062,hasStandard,hasStandard
63,10063,hasStandard,hasStandard
64,10064,hasStandard,hasStandard
65,10065,hasStandard,hasStandard
66,10066,hasStandard,hasStandard
67,10067,hasStandard,hasStandard
68,10068,hasStandard,hasStandard
69,10069,hasStandard,hasStandard
70,10070,hasStandard,hasStandard
71,10071,hasStandard,hasStandard
72,10072,hasStandard,hasStandard
73,10073,hasStandard,hasStandard
74,10074,hasStandard,hasStandard
75,10075,hasStandard,hasStandard
76,10076,hasStandard,hasStandard
77,10077,hasStandard,hasStandard
78,10078,hasStandard,hasStandard
79,10079,hasStandard,hasStandard
80,10080,hasStandard,hasStandard
81,10081,hasStandard,hasStandard
82,10082,hasStandard,hasStandard
83,10083,hasStandard,hasStandard
84,10084,hasStandard,hasStandard
85,10085,hasStandard,hasStandard
86,10086,hasStandard,hasStandard
87,10087,hasStandard,hasStandard
88,10088,hasStandard,hasStandard
89,10089,hasStandard,hasStandard
90,10090,hasStandard,hasStandard
91,10091,hasStandard,hasStandard
92,10092,hasStandard,hasStandard
93,10093,hasStandard,hasStandard
94,10094,hasStandard,hasStandard
95,10095,hasStandard,hasStandard
96,10096,hasStandard,hasStandard
97,10097,hasStandard,hasStandard
98,10098,hasStandard,hasStandard
99,10099,hasStandard,hasStandard
100,10100,hasStandard,hasStandard
101,10101,hasStandard,hasStandard
102,10102,hasStandard,hasStandard
103,10103,hasStandard,hasStandard
104,10104,hasStandard,hasStandard
105,10105,hasStandard,hasStandard
106,10106,hasStandard,hasStandard
107,10107,hasStandard,hasStandard
108,10108,hasStandard,hasStandard
109,10109,hasStandard,hasStandard
110,10110,hasStandard,hasStandard
111,10111,hasStandard,hasStandard
112,10112,hasStandard,hasStandard
113,10113,hasStandard,hasStandard
