:START_ID,:END_ID,relation,:TYPE
5,4000,hasoldbrand,Hasoldbrand
11,4001,hasoldbrand,Hasoldbrand
13,4002,hasoldbrand,Hasoldbrand
19,4003,hasoldbrand,Hasoldbrand
24,4004,hasoldbrand,Hasoldbrand
30,4005,hasoldbrand,Hasoldbrand
36,4006,hasoldbrand,Hasoldbrand
45,4007,hasoldbrand,Hasoldbrand
69,4008,hasoldbrand,Hasoldbrand
73,4009,hasoldbrand,Hasoldbrand
79,4010,hasoldbrand,Hasoldbrand
81,4011,hasoldbrand,Hasoldbrand
87,4012,hasoldbrand,Hasoldbrand
89,4013,hasoldbrand,Hasoldbrand
92,4014,hasoldbrand,Hasoldbrand
95,4015,hasoldbrand,Hasoldbrand
104,4016,hasoldbrand,Hasoldbrand
108,4017,hasoldbrand,Hasoldbrand
114,4018,hasoldbrand,Hasoldbrand
130,4019,hasoldbrand,Hasoldbrand
135,4020,hasoldbrand,Hasoldbrand
138,4021,hasoldbrand,Hasoldbrand
142,4022,hasoldbrand,Hasoldbrand
146,4023,hasoldbrand,Hasoldbrand
151,4024,hasoldbrand,Hasoldbrand
159,4025,hasoldbrand,Hasoldbrand
162,4026,hasoldbrand,Hasoldbrand
167,4027,hasoldbrand,Hasoldbrand
170,4028,hasoldbrand,Hasoldbrand
173,4029,hasoldbrand,Hasoldbrand
182,4030,hasoldbrand,Hasoldbrand
199,4031,hasoldbrand,Hasoldbrand
218,4032,hasoldbrand,Hasoldbrand
222,4033,hasoldbrand,Hasoldbrand
