index:ID,PAIHAO,:LABEL
1,GX40NiCrSiNb 38-19,brand
2,ZG15Cr13Ni1,brand
3,ZG08Cr19Ni9,brand
4,ZG30Mn,brand
5,AS75,brand
6,ZNiCr50Nb1C0.1,brand
7,ZG16Cr9Mo,brand
8,ZG120Mn13Cr,brand
9,ZG025Cr20Ni25Mo7Cu1N,brand
10,ZG06Cr13Ni5Mo,brand
11,ZG20Cr25Ni21,brand
12,ZG65Mn,brand
13,AD140Ⅰ,brand
14,ZNiCr25Fe20Co15W5Si1C0.46,brand
15,ZG23Cr12MoV,brand
16,ZG110Mn13Mo2,brand
17,ZG03Cr26Ni6Mo3Cu1N,brand
18,ZG04Cr13Ni5Mo,brand
19,ZG12Cr18Mn9Ni4Mo3Cu2N,brand
20,ZG50Mn2,brand
21,AD180,brand
22,ZG110Mn13Mo1,brand
23,ZG06Cr16Ni5Mo,brand
24,ZG120Mn18Cr2,brand
25,ZG40Cr13Si2,brand
26,RZG270-500,brand
27,ZG40Cr13Si2,brand
28,ZG10Cr13Ni2Mo,brand
29,ZG20MnMo,brand
30,GS140,brand
31,ZG120Mn13Cr2,brand
32,ZG07Cr19Ni11Nb,brand
33,ZGMn13-3,brand
34,ZGCr29Si2,brand
35,ZGR240-420,brand
36,ZG30Cr19Mn12Si2N,brand
37,G35CrNiMo6-6,brand
38,ZG06Cr16Ni5Mo,brand
39,ZG40Cr1,brand
40,GS190,brand
41,ZG90Mn14Mo1,brand
42,ZG07Cr19Ni11Mo2Nb,brand
43,ZG25Cr20Ni14Si2,brand
44,ZG20,brand
45,ZG35Cr26Ni13,brand
46,ZG03Cr19Ni11N,brand
47,ZG15Cr1Mo1V,brand
48,S-HSS,brand
49,ZG200-400H,brand
50,ZG03Cr26Ni7Mo4N,brand
51,ZG40Cr25Ni12Si2,brand
52,ZG18CrMo,brand
53,ZG40Cr30Ni20,brand
54,ZG03Cr19Ni11Mo2,brand
55,ZG35Cr1Mo,brand
56,ZG30Cr13,brand
57,ZG300-500H,brand
58,G-X20CrMo13,brand
59,AS50,brand
60,ZG45Cr20Co20Ni20Mo3W3,brand
61,ZG18CrMoV,brand
62,ZG45Ni35Cr26,brand
63,ZG07Cr19Ni11Mo2,brand
64,ZG28NiCrMo,brand
65,ZG04Cr13Ni5Mo,brand
66,AS65,brand
67,ZG40Ni35Cr26Si2,brand
68,ZG17Ni3Cr2Mo,brand
69,ZG23Cr19Mn10Ni2Si2N,brand
70,ZG03Cr19Ni11Mo3N,brand
71,ZG20Cr13,brand
72,ZG06Cr13Ni6Mo,brand
73,AS70Ⅰ,brand
74,ZG40Ni38Cr19Si2Nb1,brand
75,ZG16Cr5Mo,brand
76,ZG110Mn13,brand
77,ZG03Cr26Ni7Mo4CuN,brand
78,ZG10Cr13Ni1Mo,brand
79,ZG08Cr20Ni11Mo4,brand
80,ZG35Mn,brand
81,AS75Ⅰ,brand
82,ZNiCr19Fe18Si1C0.5,brand
83,ZG12Cr9Mo2CoNiVNbNB,brand
84,ZG120Mn13Cr2,brand
85,ZG025Cr20Ni19Mo7CuN,brand
86,ZG06Cr16Ni5Mo,brand
87,ZG03Cr22Ni6Mo3N,brand
88,ZG40Mn2,brand
89,AD160,brand
90,ZCoCr28Fe18C0.3,brand
91,ZG05Cr13Ni4,brand
92,ZG120Mn13Ni4,brand
93,ZG03Cr26Ni6Mo3N,brand
94,RZG200-400,brand
95,ZG12Cr19Mn13Mo2CuN,brand
96,ZG15Cr13,brand
97,ZG35SiMnMo,brand
98,AD190,brand
99,ZG100Mn13,brand
100,ZG03Cr19Ni11N,brand
101,ZGMn13-1,brand
102,ZG40Cr17Si2,brand
103,RZG310-570,brand
104,ZG40Cr18Si2,brand
105,G42CrMo4,brand
106,ZG06Cr13Ni4Mo,brand
107,ZG30Cr1MnMo,brand
108,GS150,brand
109,ZG120Mn13W1,brand
110,ZG03Cr19Ni11Mo2N,brand
111,ZGMn13-4,brand
112,ZG40Cr24Si2,brand
113,ZGR280-480,brand
114,ZG35Cr24Ni8Si2N,brand
115,ZG10Cr12Ni1,brand
116,ZG34Cr2Ni2Mo,brand
117,HCrS,brand
118,ZG120Mn17,brand
119,ZG03Cr22Ni5Mo3N,brand
120,ZG40Cr22Ni10Si2,brand
121,ZG18Mo,brand
122,ZG35Cr28Ni16,brand
123,ZG07Cr19Ni10,brand
124,ZG20CrMo,brand
125,ZG15Cr13,brand
126,ZG230-450H,brand
127,ZG03Ni28Cr21Mo2,brand
128,ZG40Cr25Ni20Si2,brand
129,ZG17Cr2Mo,brand
130,ZG35Ni25Cr19Si2,brand
131,ZG03Cr19Ni11Mo2N,brand
132,ZG42Cr1Mo,brand
133,ZG12Cr18Ni9Ti,brand
134,ZG340-550H,brand
135,AS60,brand
136,ZG10Ni31Cr20Nb1,brand
137,ZG26CrNiMo,brand
138,ZG40Cr23Ni4N,brand
139,ZG07Cr19Ni11Mo2Nb,brand
140,ZG30NiCrMo,brand
141,ZG06Cr13Ni4Mo,brand
142,AS65Ⅰ,brand
143,ZG03Cr14Ni14Si4,brand
144,ZG40Ni35Cr26Si2Nb1,brand
145,ZG012Ni3,brand
146,ZG08Cr18Ni12Mo3Ti,brand
147,ZG03Cr22Ni6Mo3N,brand
148,ZG15Cr13,brand
149,ZG06Cr16Ni5Mo,brand
150,ZG25Mn,brand
151,AS70Ⅱ,brand
152,ZNiCr28Fe17W5Si2C0.4,brand
153,ZG10Cr9MoV,brand
154,ZG120Mn13,brand
155,ZG07Cr19Ni12Mo3,brand
156,ZG06Cr13Ni4Mo,brand
157,ZG12Cr22Ni12,brand
158,ZG40Mn,brand
159,AD140,brand
160,ZNiFe18Cr15Si1C0.5,brand
161,ZG010Cr12Ni,brand
162,ZG110Mn13Mo,brand
163,ZG03Cr26Ni6Mo3Cu3N,brand
164,ZG04Cr13Ni4Mo,brand
165,ZG03Cr26Ni7Mo4N,brand
166,ZG45Mn2,brand
167,AD160Ⅰ,brand
168,ZG120Mn7Mo1,brand
169,ZG06Cr13Ni4,brand
170,ZG120Mn18,brand
171,ZG30Cr7Si2,brand
172,RZG230-450,brand
173,ZG40Cr9Si3,brand
174,ZG20Cr13,brand
175,ZG35CrMnSi,brand
176,AD200,brand
177,ZG120Mn13,brand
178,ZG07Cr19Ni10,brand
179,ZGMn13-2,brand
180,ZG40Cr28Si2,brand
181,RZG340-640,brand
182,ZG30Cr21Ni10,brand
183,ZG06Cr13Ni4,brand
184,ZG55CrMnMo,brand
185,GS160,brand
186,ZG120Mn13Ni3,brand
187,ZG07Cr19Ni11Mo2,brand
188,ZGMn13-5,brand
189,ZG25Cr18Ni9Si2,brand
190,ZG18,brand
191,ZG20Cr26Ni5,brand
192,ZG03Cr19Ni11,brand
193,ZG15Cr1Mo,brand
194,HSS,brand
195,ZG120Mn17Cr2,brand
196,ZG03Cr26Ni6Mo3Cu3N,brand
197,ZG40Cr24Ni24Si2Nb,brand
198,ZG19Mo,brand
199,ZG40Cr25Ni21,brand
200,ZG07Cr19Ni11Nb,brand
201,GX40CrNiSi 22-10,brand
202,ZG20CrMoV,brand
203,ZG20Cr13,brand
204,ZG270-480H,brand
205,AS40,brand
206,ZG40Cr27Ni4Si2,brand
207,ZG13MoCrV,brand
208,ZG30Ni35Cr15,brand
209,ZG05Cr26Ni6Mo2N,brand
