牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
Ct1Cn,GOST 380-2005 普通碳素钢牌号,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢  易切削钢,,G11370,1137,易切削性,,,,,,,,,
SWCH 8A,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
1010,SAE J 403-2001 碳素钢化学成分,碳钢,,注： 1.硅-棒材或半成品时含量，通常使用下列范围：0.1%max;0.1~0.2%;0.15~0.35%;0.2~0.4%或0.3~0.6% 2.要求规定Cu含量时，Cu≤0.20%,G10100,,锻压性,,,,,,,,,
A194 Grade 1,ASTM A194/A194M-2020 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,工艺： ⓐ 1级和2级螺母应是热锻或冷锻的，或用经热锻、热轧、冷拉棒料加工制成。 ⓑ用棒材成形或加工制成的所有1级和2级螺母，应在至少1000°F（538“C）的温度下消除应力，以下情况除外： 经热锻制造的螺母 经热锻或热轧棒材加工制成的螺母 经热锻/热轧并冷精整（最大断面收缩率10%）棒料加工制成的螺母 经冷拉和最低温度538°C退火棒料加工制成的螺母 ⓒ由经热锻制成螺母或用热锻或热轧棒加工制成的1级和2级螺母不必进行消除应力。,,,锻压性,,,,,,,,,
340Y,ISO 13887-2017 具有更高的屈服强度和更好的成形性冷轧薄钢板,碳钢,,,,,,,,,,,,,,
T10A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00103,,,,,,,,
45H,GB /T 5216-2014 保证淬透性结构钢,碳钢,,,,,,U59455,,,,,,,,
1021,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10210,,,,,,,,,,,
C50,DIN 17200-1987 调质钢材的供货技术条件,碳钢,优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.054,,,,,,,
C20C,EN 10263-2-2001 冷镦和冷挤压用钢棒、杆和丝.第2部分:冷加工后不热处的钢的交货技术条件,碳钢,非热处理钢,EN10263 标准的本部分适用于用于冷镦和冷挤压，对最终零件无需进行后续热处理的，直径不大 于 100mm 的圆形非合金钢或合金钢钢棒、盘条和钢丝,,,,,,1.0411,,,,,,
A546 Grade 10B22,ASTM A546-1982 中高碳钢丝，冷镦优质，六角头螺栓,碳钢,碳钢  硼钢,冷镦用钢，塑性好。 在本标准中只对化学成分做出规定，没规定力学性能。本标准于1991被撤销,,,,,,,,,,,,
21B3,NF A 35-551-1986 渗碳处理的碳素结构钢和特殊合金结构钢钢号 半成品、棒材和线,碳钢,硼钢,,,,渗碳性,,,,,,,,,
C10C,EN 10263-2-2017 盘条，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,,,,,,,,1.0214,,,,,,
C35RC,EN 10263-4-2001 冷加工和冷挤压的钢棒、棒材和线材 第4部分 淬火和回火钢交货的一般技术条件,碳钢,,,,,,,,1.106,,,,,,
08nc,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素结构钢  半镇静钢,,,,,,,,,,,,,
SM35,YB /T 107-2013 塑料模具用热轧钢板,碳钢,,,,,,,,,,,,,,
C40,ISO 683-1-2016 淬火和回火用非合金钢,碳钢,优质钢,,,,,,,,,,,,,
C90U,DIN EN ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,1.1535,,7.85 g/cm3,,,,,
46Cr2E,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,表面硬化型冷镦钢,,,,,,,,,C13,,,,
E5515-N5,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
490,GB /T 5312-2009 船舶用碳钢和碳锰钢无疑钢管,碳钢,,,,,,U34902,,,,,,,,
TCR320,ISO 4999-2014 商用、拉拔和结构用连续热浸镀锡（铅合金）冷还原碳钢板,碳钢,,,,,,,,,,,,,,
SD500,KS D 3504-2011 钢筋混凝土用钢筋,碳钢,,,,,,,,,,,,,,
SS330,JIS G 3101-2015 普通结构用轧制钢材,碳钢,,,,,,,,,,,,,,
