牌号,欧标钢号,对应标准,归类,性能,标签,说明,旧牌号,德国W-Nr.,美国UNS,其他名称
GX40NiCrSiNb 38-19,1.4849,EN 10295-2002 耐热钢铸件,铸钢,耐腐蚀,奥氏体型,用于600℃以上的一般用途(非压力应用)。在清洁的自然空气中抗氧化的工作温度最高可达1020℃。在其他大气中，这个温度可能相差很大。,,,,
ZG15Cr13Ni1,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG08Cr19Ni9,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG30Mn,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AS75,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU75CrMo,,,
ZNiCr50Nb1C0.1,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG16Cr9Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG120Mn13Cr,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,,,,
ZG025Cr20Ni25Mo7Cu1N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG06Cr13Ni5Mo,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG20Cr25Ni21,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,ZG20Cr25Ni20,,,
ZG65Mn,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD140Ⅰ,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,ZUB140CrNiMo,,,
ZNiCr25Fe20Co15W5Si1C0.46,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG23Cr12MoV,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG110Mn13Mo2,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,,,,
ZG03Cr26Ni6Mo3Cu1N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG04Cr13Ni5Mo,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG12Cr18Mn9Ni4Mo3Cu2N,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,ZG12Cr17Mn9Ni4Mo3Cu2N,,,
ZG50Mn2,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD180,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,,,,
ZG110Mn13Mo1,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG06Cr16Ni5Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG120Mn18Cr2,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,ZG120Mn17Cr2,,,
ZG40Cr13Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
RZG270-500,,JB /T 5100-1991 熔模铸造碳钢件 技术条件,铸钢,,,,,,,
ZG40Cr13Si2,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,,,,
