,C.max,C.min,Si.max,Si.min,Mn.max,Mn.min,P.max,P.min,S.max,S.min,Cr.max,Cr.min,Ni.max,Ni.min,Mo.max,Mo.min,N.max,N.min,Ti.max,Ti.min,V.max,V.min,Nb.max,Nb.min,B.max,B.min,Co.max,Co.min,更多
1,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,21,18,39,36,0.5,-,,,,,,,1.8,1.2,,,,,
2,0.15,-,0.8,-,0.8,-,0.035,-,0.025,-,13.5,11.5,1,-,0.5,-,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
3,0.08,-,2,-,1.5,-,0.04,-,0.04,-,21,17,11,8,,,,,,,,,,,,,,,
4,0.34,0.27,0.5,0.3,1.5,1.2,0.03,-,0.03,-,,,,,,,,,,,,,,,,,,,
5,0.8,0.7,0.45,0.2,0.9,0.6,0.035,-,0.03,-,1,0.75,,,0.45,0.2,,,,,,,,,,,,,
6,0.1,-,0.5,-,0.5,-,0.02,-,0.02,-,52,47,,,0.5,-,0.16,-,,,,,1.7,1.4,,,,,Ni余量；N+C：0.2
7,0.19,0.12,1,-,0.65,0.35,0.03,-,0.03,-,10,8,0.4,-,1.2,0.9,,,,,0.05,-,,,,,,,
8,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,0.75,0.3,,,,,,,,,,,,,,,,,
9,0.025,-,1,-,2,-,0.035,-,0.02,-,21,19,26,24,7,6,0.25,0.15,,,,,,,,,,,
10,0.06,-,0.8,-,1,-,0.035,-,0.025,-,13.5,11.5,6,4.5,1,0.4,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
11,0.2,-,2,-,1.5,-,0.04,-,0.04,-,27,23,22,19,,,,,,,,,,,,,,,
12,0.7,0.6,0.37,0.17,1.2,0.9,0.03,-,0.03,-,,,,,0.15,-,,,,,,,,,,,,,
13,1.5,1.3,0.6,0.3,1.1,0.7,0.035,-,0.03,-,1.2,0.8,1.2,0.5,0.6,0.2,,,,,,,,,,,,,
14,0.48,0.44,2,1,2,-,0.04,-,0.03,-,26,24,37,33,,,,,,,,,,,,,16,14,
15,0.26,0.2,0.4,-,0.8,0.5,0.03,-,0.02,-,12.2,11.3,1,-,1.2,1,,,,,0.35,0.25,,,,,,,
16,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,,,,,2.1,1.8,,,,,,,,,,,,,
17,0.03,-,1,-,2,-,0.03,-,0.02,-,26.5,24.5,7,5.5,3.5,2.5,0.25,0.12,,,,,,,,,,,
18,0.04,-,0.8,-,1.5,-,0.03,-,0.01,-,13.5,11.5,6,4.5,1,0.4,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
19,0.12,-,1.5,-,10,8,0.06,-,0.035,-,19,16,5,3,3.5,2.9,0.26,0.16,,,,,,,,,,,
20,0.55,0.45,0.4,0.2,1.8,1.5,0.03,-,0.03,-,,,,,,,,,,,,,,,,,,,
21,1.9,1.7,0.8,0.3,1.1,0.6,0.035,-,0.03,-,1.5,0.8,2,0.5,0.6,0.2,,,,,,,,,,,,,
22,1.35,0.75,0.9,0.3,14,11,0.06,-,0.04,-,,,,,1.2,0.9,,,,,,,,,,,,,
23,0.06,-,0.8,-,1,-,0.035,-,0.025,-,17,15,6,4,1.5,0.7,,,,,0.08,-,,,,,,,
24,1.35,1.05,0.9,0.3,19,16,0.06,-,0.04,-,2.5,1.5,,,,,,,,,,,,,,,,,
25,0.5,0.3,2.5,1,1,0.5,0.04,-,0.03,-,14,12,1,-,0.5,-,,,,,,,,,,,,,
26,0.4,-,0.5,-,0.9,-,0.04,-,0.04,-,0.35,-,0.3,-,0.2,-,,,,,,,,,,,,,
27,0.5,0.3,2.5,1,1,0.5,0.03,-,0.03,-,14,12,1,-,0.5,-,,,,,,,,,,,,,
28,0.1,-,1,-,1,-,0.035,-,0.025,-,13.5,12,2,1,0.5,0.2,,,,,,,,,,,,,
29,0.23,0.17,0.4,0.2,1.4,1.1,0.03,-,0.03,-,,,,,0.35,0.2,,,,,,,,,,,,,
30,1.5,1.3,1.6,1.3,1,0.5,0.035,-,0.03,-,1,0.4,,,0.5,0.2,,,,,,,,,,,,,
31,1.35,1.05,0.9,0.3,14,11,0.06,-,0.04,-,2.5,1.5,,,,,,,,,,,,,,,,,
32,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,,,,,,,,,,,,,,,Nb：8C~1.0
33,1.3,0.9,0.8,0.3,14,11,0.08,-,0.04,-,,,,,,,,,,,,,,,,,,,
34,1.4,1.2,2.5,1,1,0.5,0.04,-,0.03,-,30,27,1,-,0.5,-,,,,,,,,,,,,,
35,0.23,0.18,0.6,-,1.2,0.5,0.03,-,0.02,-,0.3,-,0.4,-,0.12,-,,,,,,,,,,,,,Cr+Ni+Cu+Mo+V≤1.00
36,0.36,0.26,2.4,1.6,13,11,0.03,-,0.03,-,20,17,,,,,0.28,0.22,,,,,,,,,,,
37,0.38,0.32,0.6,-,1,0.6,0.025,-,0.02,-,1.7,1.4,1.7,1.4,0.35,0.15,,,,,,,,,,,,,
38,0.06,-,0.8,-,1,-,0.035,-,0.025,-,17,15,6,4,1.5,0.7,,,,,,,,,,,,,
39,0.45,0.35,0.4,0.2,0.8,0.5,0.03,-,0.03,-,1.1,0.8,0.3,-,0.15,-,,,,,,,,,,,,,
40,2,1.8,1.5,0.8,1,0.6,0.035,-,0.03,-,2,0.5,2.2,0.6,0.8,0.2,,,,,,,,,,,,,
41,1,0.7,0.6,0.3,15,13,0.07,-,0.04,-,,,,,1.8,1,,,,,,,,,,,,,
42,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,2.5,2,,,,,,,,,,,,,Nb：8C~1.0
43,0.35,0.15,2.5,1,2,-,0.04,-,0.03,-,21,19,15,13,0.5,-,,,,,,,,,,,,,
44,0.23,0.17,0.6,-,1,0.5,0.02,-,0.02,-,0.3,-,0.8,-,0.12,-,,,,,0.03,-,,,,,,,
45,0.5,0.2,2,-,2,-,0.03,-,0.03,-,28,24,14,11,,,,,,,,,,,,,,,
46,0.03,-,1.5,-,2,-,0.04,-,0.03,-,20,18,12,9,,,0.2,0.12,,,,,,,,,,,
47,0.2,0.12,0.6,0.2,0.7,0.4,0.03,-,0.03,-,1.7,1.2,0.3,-,1.2,0.9,,,,,0.4,0.25,,,,,,,
48,1.2,0.6,1.5,0.8,1,0.5,0.035,-,0.03,-,9,3,1.2,0.2,5,2,,,,,3,0.4,,,,,,,
49,0.2,-,0.6,-,0.8,-,0.025,-,0.025,-,0.35,-,0.4,-,0.15,-,,,,,0.05,-,,,,,,,残余元素Ni+Cr+Cu+Mo+V≤1.0
50,0.03,-,1,-,1,-,0.035,-,0.025,-,27,25,8,6,5,3,0.22,0.12,,,,,,,,,,,
51,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,27,24,14,11,0.5,-,,,,,,,,,,,,,
