牌号,E5518-N2,,,,,,,,,,,,,,,
对应标准,GB /T 5117-2012 非合金钢及细晶粒钢焊条,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,熔敷金属,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,V,,,,,,,
最小值,-,-,0.4,-,-,-,0.8,-,-,,,,,,,
最大值,0.12,0.8,1.25,0.03,0.03,0.15,1.1,0.35,0.05,,,,,,,
抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,,,,
≥550,470~550,≥20,,,,,,,,,,,,,,
美国UNS,G11390,,,,,,,,,,,,,,,
ASTM  型号或牌号,1139,,,,,,,,,,,,,,,
对应标准,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,硫处理碳素钢,,,,,,,,,,,,,,,
成分,C,Mn,P,S,更多,,,,,,,,,,,
最小值,0.35,1.35,-,0.13,①②③,,,,,,,,,,,
最大值,0.43,1.65,0.04,0.2,①②③,,,,,,,,,,,
牌号,08,,,,,,,,,,,,,,,
中国ISC,U20082,,,,,,,,,,,,,,,
对应标准,GB /T 699-2015 优质碳素结构钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
说明,本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,,,,,,,,
最小值,0.05,0.17,0.35,-,-,-,-,-,,,,,,,,
最大值,0.11,0.37,0.65,0.035,0.035,0.1,0.3,0.25,,,,,,,,
直径（厚度） d mm,热处理或状态,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,断面收缩率ψ %,硬度 HBW,,,,,,,,,,
d=25(试样尺寸),正火,≥325,≥195,≥33,≥60,未经热处理钢≤131,,,,,,,,,,
牌号,L175P/A25P,,,,,,,,,,,,,,,
旧牌号,S175Ⅱ,,,,,,,,,,,,,,,
对应标准,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C ①,Si,Mn ①,P,S,Cr,Ni,Cu,Mo,,,,,,,
最小值,-,-,-,0.045,-,-,-,-,-,,,,,,,
最大值,0.21,0.35,0.6,0.08,0.03,0.5,0.5,0.5,0.15,,,,,,,
牌号,Ct1Cn,,,,,,,,,,,,,,,
对应标准,GOST 380-2005 普通碳素钢牌号,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,,
最小值,0.06,0.15,0.25,-,-,,,,,,,,,,,
最大值,0.12,0.3,0.5,0.04,0.05,,,,,,,,,,,
牌号,E 355D,,,,,,,,,,,,,,,
旧牌号,Fe 510D,,,,,,,,,,,,,,,
对应标准,ISO 630-1995 结构钢——板料、宽扁钢、钢筋、型材,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
