,0
0,1449984
1,2203650
2,434181
3,1564680
4,1736724
5,516132
6,1966116
7,2342949
8,950313
9,2457645
10,1441842
11,2195508
12,49206
13,1876023
14,1179705
15,2310204
16,163902
17,598083
18,974916
19,2048067
20,2424900
21,655431
22,1089612
23,827475
24,2334807
25,565338
26,2506851
27,41064
28,417897
29,475245
30,852078
31,1605744
32,532593
33,966774
34,647289
35,2474106
36,1081470
37,8319
38,761985
39,2211969
40,1572999
41,2384013
42,2064528
43,1425558
44,352407
45,2556057
46,467103
47,524451
48,2146479
49,2523312
50,1450161
51,1826994
52,2203827
53,2580660
54,57525
55,1564857
56,549054
57,1736901
58,1474764
59,778446
60,1966293
61,2343126
62,950490
63,1442019
64,2195685
65,1876200
66,1556715
67,1237230
68,164079
69,598260
70,975093
71,2425077
72,1728759
73,655608
74,1089789
75,1523970
76,2334984
77,565515
78,2507028
79,41241
80,418074
81,475422
82,852255
83,1605921
84,532770
85,966951
86,647466
87,2474283
88,327981
89,1081647
90,8496
91,2212146
92,762162
93,1573176
94,2384190
95,2064705
96,1425735
97,352584
98,2556234
99,467280
100,1597779
101,2523489
102,1450338
103,2204004
104,57702
105,1565034
106,549231
107,2376048
108,1737078
109,1966470
110,2343303
111,950667
112,1384848
113,1442196
114,2195862
115,49560
116,1876377
117,1180059
118,1556892
119,1237407
120,598437
121,975270
122,2048421
123,1728936
124,655785
125,2425254
126,1089966
127,2220465
128,565692
129,1319358
130,2507205
131,41418
132,418251
133,475599
134,852432
135,1606098
136,532947
137,967128
138,647643
139,1081824
140,762339
141,2212323
142,1573353
143,2384367
144,2064882
145,1425912
146,352761
147,410109
148,1597956
149,524805
150,2146833
151,2523666
152,1450515
153,2204181
154,2581014
155,1565211
156,1622559
157,549408
158,2376225
159,1737255
160,1966647
161,2343480
162,950844
163,1385025
164,1442373
165,2196039
166,1876554
167,1557069
168,2310735
169,598614
170,975447
171,2048598
172,1729113
173,655962
174,2425431
175,1090143
176,828006
177,1958505
178,565869
179,1319535
180,2507382
181,41595
182,418428
183,1172094
184,475776
185,1606275
186,967305
187,647820
188,1082001
189,8850
190,762516
191,2212500
192,1573530
193,2384544
194,2065059
195,1426089
196,352938
197,2556588
198,410286
199,2523843
200,1450692
201,2204358
202,2581191
203,1565388
204,1622736
205,549585
206,2376402
207,1737432
208,1475295
209,2343657
210,1385202
211,1442550
212,2196216
213,1876731
214,1557246
215,2310912
216,598791
217,975624
218,2048775
219,1729290
220,656139
221,2425608
222,1090320
223,2220819
224,566046
225,1319712
226,1811241
227,418605
228,1606452
229,967482
230,647997
231,1401663
232,1082178
233,9027
234,762693
235,2212677
236,1573707
237,2384721
238,1426266
239,353115
240,2556765
241,410463
242,2524020
243,1450869
244,2204535
245,2581368
246,1565565
247,1622913
248,549762
249,2376579
250,1737609
251,1385379
252,1442727
253,2196393
254,50091
255,1876908
256,1557423
257,2311089
258,598968
259,975801
260,2048952
261,1729467
262,656316
263,2425785
264,1090497
265,2220996
266,828360
267,2335692
268,1754070
269,41949
270,418782
271,795615
272,476130
273,1606629
274,967659
275,648174
276,1401840
277,1082355
278,9204
279,762870
280,2212854
281,1573884
282,2384898
283,353292
284,2556942
285,410640
286,320547
287,2147364
288,2524197
289,1451046
290,2204712
291,1565742
292,1623090
293,549939
294,2376756
295,1737786
296,1442904
297,2196570
298,50268
299,1877085
300,1557600
301,484449
302,599145
303,2049129
304,2425962
305,1729644
306,656493
307,1090674
308,2221173
309,828537
310,304263
311,1811595
312,42126
313,418959
314,795792
315,476307
316,156822
317,1606806
318,967836
319,648351
320,1402017
321,1082532
322,763047
323,2213031
324,1574061
325,2385075
326,2122938
327,2499771
328,1426620
329,353469
330,2557119
331,410817
332,320724
333,2147541
334,2524374
335,1451223
336,2204889
337,1565919
338,1623267
339,2376933
340,1737963
341,1795311
342,1385733
343,1443081
344,50445
345,1557777
346,1238292
347,599322
348,2049306
349,2426139
350,1729821
351,656670
352,1090851
353,2221350
354,509229
355,2336046
356,304440
357,1811772
358,42303
359,795969
360,476484
361,1606983
362,648528
363,1402194
364,1082709
365,763224
366,2213208
367,66906
368,2385252
369,2065767
370,2123115
371,2499948
372,1426797
373,353646
374,263553
375,320901
376,1451400
377,2205066
378,2581899
379,1566096
380,1623444
381,2377110
382,288156
383,1738140
384,2172321
385,1590699
386,1385910
387,1443258
388,1557954
389,1238469
390,2049483
391,1729998
392,656847
393,1091028
394,2541012
395,1844694
396,2221527
397,509406
398,2336223
399,304617
400,1811949
401,419313
402,796146
403,157176
404,648705
405,1402371
406,706053
407,1082886
408,9735
409,2532870
410,763401
411,2213385
412,1574415
413,2385429
414,2065944
415,2123292
416,2500125
417,353823
418,2557473
419,411171
420,263730
421,321078
422,1451577
423,1828410
424,2205243
425,1566273
426,1623621
427,2377287
428,288333
429,1738317
430,1386087
431,1443435
432,1558131
433,1238646
434,2049660
435,1730175
436,657024
437,1091205
438,2221704
439,2336400
440,1812126
441,42657
442,648882
443,1402548
444,706230
445,1083063
446,9912
447,763578
448,2213562
449,67260
450,1574592
451,2385606
452,2066121
453,2123469
454,2500302
455,354000
456,2557650
457,263907
458,321255
459,2148072
460,1451754
461,2205420
462,1566450
463,1623798
464,2377464
465,288510
466,1738494
467,2172675
468,460554
469,1443612
470,50976
471,1558308
472,2049837
473,1730352
474,657201
475,1091382
476,1845048
477,2508621
478,1812303
479,42834
480,419667
481,157530
482,1607514
483,649059
484,1402725
485,706407
486,1083240
487,10089
488,763755
489,2213739
490,67437
491,1574769
492,2385783
493,2066298
494,1746813
495,2123646
496,2500479
497,354177
498,2557827
499,788358
500,526221
501,264084
502,321432
503,2148249
504,1451931
505,2205597
506,1509279
507,1566627
508,1623975
509,2377641
510,288687
511,1738671
512,2172852
513,460731
514,1386441
515,1443789
516,51153
517,1558485
518,1239000
519,2050014
520,1730529
521,657378
522,1091559
523,1845225
524,1812480
525,2189313
526,43011
527,419844
528,796677
529,157707
530,649236
531,706584
532,1083417
533,2533401
534,763932
535,2213916
536,1574946
537,2385960
538,2066475
539,2123823
540,2500656
541,354354
542,2181171
543,2558004
544,34869
545,411702
546,788535
547,1599549
548,526398
549,264261
550,2148426
551,1452108
552,2205774
553,1132623
554,1566804
555,1624152
556,2377818
557,288864
558,1738848
559,2173029
560,460908
561,837741
562,1386618
563,1443966
564,51330
565,1558662
566,2312328
567,2050191
568,1730706
569,657555
570,2107539
571,1091736
572,2541720
573,1845402
574,1960098
575,1812657
576,2189490
577,796854
578,854202
579,157884
580,649413
581,706761
582,1083594
583,10443
584,2533578
585,764109
586,2214093
587,1575123
588,2386137
589,1747167
590,2124000
591,2500833
592,354531
593,2558181
594,35046
595,788712
596,469227
597,526575
598,264438
599,2148603
600,1452285
601,1132800
602,2582784
603,1566981
604,1624329
605,2377995
606,289041
607,1739025
608,461085
609,1386795
610,1444143
611,428340
612,805173
613,1558839
614,2312505
615,1239354
616,2369853
617,2050368
618,1730883
619,657732
620,2107716
621,1091913
622,2189667
623,43365
624,420198
625,797031
626,854379
627,1608045
628,592242
629,649590
630,706938
631,1083771
632,10620
633,2533755
634,764286
635,2214270
636,67968
637,1575300
638,2386314
639,1747344
640,2124177
641,2501010
642,354708
643,2181525
644,35223
645,788889
646,469404
647,264615
648,1771947
649,1452462
650,1132977
651,1567158
652,1624506
653,2378172
654,289218
655,1739202
656,2173383
657,461262
658,838095
659,1386972
660,1444320
661,428517
662,805350
663,1559016
664,2312682
665,1239531
666,2370030
667,2050545
668,1731060
669,657909
670,2107893
671,1092090
672,2189844
673,43542
674,797208
675,854556
676,158238
677,2361888
678,649767
679,707115
680,1083948
681,10797
682,2533932
683,764463
