成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,W ,V ,Nb,Co ,,
最小值,0.3,1,-,-,-,18,36,-,-,-,-,1.2,-,,
最大值,0.5,2.5,2,0.04,0.03,21,39,0.25,0.5,0.6,0.12,1.8,1,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,更多,,,
最小值,-,-,-,-,-,11.5,-,-,-,-,-,Cu+W+V≤0.5,,,
最大值,0.15,0.8,0.8,0.035,0.025,13.5,1,0.5,0.5,0.1,0.05,Cu+W+V≤0.5,,,
成分,C,Si,Mn,P,S,Cr,Ni,,,,,,,,
最小值,-,-,-,-,-,17,8,,,,,,,,
最大值,0.08,2,1.5,0.04,0.04,21,11,,,,,,,,
成分,C,Si,Mn,P,S,Cr ,Ni ,Cu ,Mo ,V ,,,,,
最小值,0.27,0.3,1.2,-,-,-,-,-,-,-,,,,,
最大值,0.34,0.5,1.5,0.03,0.03,0.3,0.3,0.25,0.15,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Mo,,,,,,,,
最小值,0.7,0.2,0.6,-,-,0.75,0.2,,,,,,,,
最大值,0.8,0.45,0.9,0.035,0.03,1,0.45,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Mo,N,Nb,更多,,,,,
最小值,-,-,-,-,-,47,-,-,1.4,Ni余量；N+C：0.2,,,,,
最大值,0.1,0.5,0.5,0.02,0.02,52,0.5,0.16,1.7,Ni余量；N+C：0.2,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.12,-,0.35,-,-,8,-,-,0.9,-,,,,,
最大值,0.19,1,0.65,0.03,0.03,10,0.4,0.3,1.2,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,,,,,,,,,
最小值,1.05,0.3,11,-,-,0.3,,,,,,,,,
最大值,1.35,0.9,14,0.06,0.04,0.75,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,19,24,0.5,6,0.15,,,,,
最大值,0.025,1,2,0.035,0.02,21,26,1.5,7,0.25,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,更多,,,
最小值,-,-,-,-,-,11.5,4.5,-,0.4,-,-,Cu+W+V≤0.5,,,
最大值,0.06,0.8,1,0.035,0.025,13.5,6,0.5,1,0.1,0.05,Cu+W+V≤0.5,,,
成分,C,Si,Mn,P,S,Cr,Ni,,,,,,,,
最小值,-,-,-,-,-,23,19,,,,,,,,
最大值,0.2,2,1.5,0.04,0.04,27,22,,,,,,,,
成分,C,Si,Mn,P,S,Cr ,Ni ,Cu ,Mo,V ,,,,,
最小值,0.6,0.17,0.9,-,-,-,-,-,-,-,,,,,
最大值,0.7,0.37,1.2,0.03,0.03,0.3,0.3,0.25,0.15,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1.3,0.3,0.7,-,-,0.8,0.5,0.2,,,,,,,
最大值,1.5,0.6,1.1,0.035,0.03,1.2,1.2,0.6,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,W,Co,,,,,,
最小值,0.44,1,-,-,-,24,33,4,14,,,,,,
最大值,0.48,2,2,0.04,0.03,26,37,6,16,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,,,,
最小值,0.2,-,0.5,-,-,11.3,-,-,1,-,0.25,,,,
最大值,0.26,0.4,0.8,0.03,0.02,12.2,1,0.3,1.2,0.5,0.35,,,,
成分,C,Si,Mn,P,S,Mo,,,,,,,,,
最小值,1.05,0.3,11,-,-,1.8,,,,,,,,,
最大值,1.35,0.9,14,0.06,0.04,2.1,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,24.5,5.5,0.8,2.5,0.12,,,,,
最大值,0.03,1,2,0.03,0.02,26.5,7,1.3,3.5,0.25,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,更多,,,
最小值,-,-,-,-,-,11.5,4.5,-,0.4,-,-,Cu+W+V≤0.5,,,
最大值,0.04,0.8,1.5,0.03,0.01,13.5,6,0.5,1,0.1,0.05,Cu+W+V≤0.5,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,8,-,-,16,3,2,2.9,0.16,,,,,
最大值,0.12,1.5,10,0.06,0.035,19,5,2.5,3.5,0.26,,,,,
成分,C,Si,Mn,P,S,Cr ,Ni ,Cu ,Mo ,V ,,,,,
最小值,0.45,0.2,1.5,-,-,-,-,-,-,-,,,,,
最大值,0.55,0.4,1.8,0.03,0.03,0.3,0.3,0.25,0.15,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1.7,0.3,0.6,-,-,0.8,0.5,0.2,,,,,,,
最大值,1.9,0.8,1.1,0.035,0.03,1.5,2,0.6,,,,,,,
成分,C,Si,Mn,P,S,Mo,,,,,,,,,
最小值,0.75,0.3,11,-,-,0.9,,,,,,,,,
