index:ID,name,:LABEL
21001,21,Cr.max
21002,13.5,Cr.max
21003,21,Cr.max
21004,1,Cr.max
21005,52,Cr.max
21006,10,Cr.max
21007,0.75,Cr.max
21008,21,Cr.max
21009,13.5,Cr.max
21010,27,Cr.max
21011,1.2,Cr.max
21012,26,Cr.max
21013,12.2,Cr.max
21014,26.5,Cr.max
21015,13.5,Cr.max
21016,19,Cr.max
21017,1.5,Cr.max
21018,17,Cr.max
21019,2.5,Cr.max
21020,14,Cr.max
21021,0.35,Cr.max
21022,14,Cr.max
21023,13.5,Cr.max
21024,1,Cr.max
21025,2.5,Cr.max
21026,20,Cr.max
21027,30,Cr.max
21028,0.3,Cr.max
21029,20,Cr.max
21030,1.7,Cr.max
21031,17,Cr.max
21032,1.1,Cr.max
21033,2,Cr.max
21034,20,Cr.max
21035,21,Cr.max
21036,0.3,Cr.max
21037,28,Cr.max
21038,20,Cr.max
21039,1.7,Cr.max
21040,9,Cr.max
21041,0.35,Cr.max
21042,27,Cr.max
21043,27,Cr.max
21044,1.5,Cr.max
21045,32,Cr.max
21046,20,Cr.max
21047,1.2,Cr.max
21048,14,Cr.max
21049,0.35,Cr.max
21050,14,Cr.max
21051,3,Cr.max
21052,22,Cr.max
21053,1.5,Cr.max
21054,28,Cr.max
21055,20,Cr.max
21056,0.85,Cr.max
21057,14,Cr.max
21058,1.2,Cr.max
21059,27,Cr.max
21060,1.8,Cr.max
21061,21,Cr.max
21062,20,Cr.max
21063,13.5,Cr.max
21064,14,Cr.max
21065,21,Cr.max
21066,6,Cr.max
21067,27,Cr.max
21068,13.5,Cr.max
21069,21,Cr.max
21070,0.3,Cr.max
21071,1.5,Cr.max
21072,21,Cr.max
21073,9.6,Cr.max
21074,2.5,Cr.max
21075,20.5,Cr.max
21076,17,Cr.max
21077,23,Cr.max
21078,0.3,Cr.max
21079,1.2,Cr.max
21080,30,Cr.max
21081,13.5,Cr.max
21082,26.5,Cr.max
21083,0.35,Cr.max
21084,20,Cr.max
21085,13.5,Cr.max
21086,0.3,Cr.max
21087,3.5,Cr.max
21088,20,Cr.max
21089,19,Cr.max
21090,0.35,Cr.max
21091,19,Cr.max
21092,1.2,Cr.max
21093,13.5,Cr.max
21094,1.2,Cr.max
21095,1,Cr.max
21096,20,Cr.max
21097,26,Cr.max
21098,0.3,Cr.max
21099,25.5,Cr.max
21100,12.5,Cr.max
21101,1.7,Cr.max
21102,15,Cr.max
21103,23,Cr.max
21104,23,Cr.max
21105,0.3,Cr.max
21106,30,Cr.max
21107,20,Cr.max
21108,0.8,Cr.max
21109,14,Cr.max
21110,0.35,Cr.max
21111,22,Cr.max
21112,27,Cr.max
21113,2.5,Cr.max
21114,20,Cr.max
21115,20,Cr.max
21116,1.2,Cr.max
21117,20,Cr.max
21118,0.35,Cr.max
21119,1.2,Cr.max
21120,23,Cr.max
21121,0.8,Cr.max
21122,24,Cr.max
21123,20,Cr.max
21124,0.9,Cr.max
21125,14,Cr.max
21126,1.2,Cr.max
21127,15,Cr.max
21128,27,Cr.max
21129,0.3,Cr.max
21130,19,Cr.max
21131,23,Cr.max
21132,13.5,Cr.max
21133,17.5,Cr.max
21134,0.3,Cr.max
21135,30,Cr.max
21136,9.5,Cr.max
21137,20,Cr.max
21138,13.5,Cr.max
21139,23,Cr.max
21140,0.3,Cr.max
21141,1.6,Cr.max
21142,19,Cr.max
21143,12.5,Cr.max
21144,26.5,Cr.max
21145,13.5,Cr.max
21146,27,Cr.max
21147,0.3,Cr.max
21148,2,Cr.max
21149,13.5,Cr.max
21150,8,Cr.max
21151,0.35,Cr.max
21152,10,Cr.max
21153,14,Cr.max
21154,0.8,Cr.max
21155,2,Cr.max
21156,20,Cr.max
21157,30,Cr.max
21158,0.35,Cr.max
21159,23,Cr.max
21160,13,Cr.max
21161,0.9,Cr.max
21162,1.5,Cr.max
21163,20,Cr.max
21164,2.5,Cr.max
21165,19,Cr.max
21166,0.3,Cr.max
21167,28,Cr.max
21168,20,Cr.max
21169,1.5,Cr.max
21170,8,Cr.max
21171,2.5,Cr.max
21172,27,Cr.max
21173,25,Cr.max
21174,0.3,Cr.max
21175,27,Cr.max
21176,20,Cr.max
21177,23,Cr.max
21178,1.2,Cr.max
21179,14,Cr.max
21180,0.35,Cr.max
21181,3.5,Cr.max
21182,28,Cr.max
21183,0.5,Cr.max
21184,17,Cr.max
21185,27,Cr.max
21186,27,Cr.max
21187,1.2,Cr.max
21188,14,Cr.max
21189,1.2,Cr.max
21190,18,Cr.max
21191,0.9,Cr.max
21192,28,Cr.max
21193,20,Cr.max
21194,0.9,Cr.max
21195,14,Cr.max
21196,21,Cr.max
21197,0.3,Cr.max
