index:ID,name,:LABEL
22001,18,Cr.min
22002,11.5,Cr.min
22003,17,Cr.min
22004,0.75,Cr.min
22005,47,Cr.min
22006,8,Cr.min
22007,0.3,Cr.min
22008,19,Cr.min
22009,11.5,Cr.min
22010,23,Cr.min
22011,0.8,Cr.min
22012,24,Cr.min
22013,11.3,Cr.min
22014,24.5,Cr.min
22015,11.5,Cr.min
22016,16,Cr.min
22017,0.8,Cr.min
22018,15,Cr.min
22019,1.5,Cr.min
22020,12,Cr.min
22021,-,Cr.min
22022,12,Cr.min
22023,12,Cr.min
22024,0.4,Cr.min
22025,1.5,Cr.min
22026,18,Cr.min
22027,27,Cr.min
22028,-,Cr.min
22029,17,Cr.min
22030,1.4,Cr.min
22031,15,Cr.min
22032,0.8,Cr.min
22033,0.5,Cr.min
22034,18,Cr.min
22035,19,Cr.min
22036,-,Cr.min
22037,24,Cr.min
22038,18,Cr.min
22039,1.2,Cr.min
22040,3,Cr.min
22041,-,Cr.min
22042,25,Cr.min
22043,24,Cr.min
22044,1,Cr.min
22045,28,Cr.min
22046,18,Cr.min
22047,0.8,Cr.min
22048,11.5,Cr.min
22049,-,Cr.min
22050,12,Cr.min
22051,1,Cr.min
22052,19,Cr.min
22053,1.2,Cr.min
22054,24,Cr.min
22055,18,Cr.min
22056,0.35,Cr.min
22057,11.5,Cr.min
22058,0.8,Cr.min
22059,24,Cr.min
22060,1.3,Cr.min
22061,17,Cr.min
22062,18,Cr.min
22063,11.5,Cr.min
22064,12,Cr.min
22065,18,Cr.min
22066,4,Cr.min
22067,25,Cr.min
22068,11.5,Cr.min
22069,18,Cr.min
22070,-,Cr.min
22071,0.8,Cr.min
22072,16,Cr.min
22073,9,Cr.min
22074,1.5,Cr.min
22075,19.5,Cr.min
22076,15.5,Cr.min
22077,21,Cr.min
22078,-,Cr.min
22079,0.8,Cr.min
22080,25,Cr.min
22081,12,Cr.min
22082,24.5,Cr.min
22083,-,Cr.min
22084,17,Cr.min
22085,11.5,Cr.min
22086,-,Cr.min
22087,1.5,Cr.min
22088,18,Cr.min
22089,16,Cr.min
22090,-,Cr.min
22091,16,Cr.min
22092,0.8,Cr.min
22093,12,Cr.min
22094,0.9,Cr.min
22095,0.6,Cr.min
22096,18,Cr.min
22097,23,Cr.min
22098,-,Cr.min
22099,23,Cr.min
22100,11.5,Cr.min
22101,1.4,Cr.min
22102,8,Cr.min
22103,21,Cr.min
22104,21,Cr.min
22105,-,Cr.min
22106,26,Cr.min
22107,18,Cr.min
22108,0.5,Cr.min
22109,11.5,Cr.min
22110,-,Cr.min
22111,19,Cr.min
22112,24,Cr.min
22113,2,Cr.min
22114,17,Cr.min
22115,18,Cr.min
22116,0.8,Cr.min
22117,17,Cr.min
22118,-,Cr.min
22119,0.8,Cr.min
22120,19,Cr.min
22121,0.4,Cr.min
22122,21,Cr.min
22123,18,Cr.min
22124,0.6,Cr.min
22125,11.5,Cr.min
22126,0.8,Cr.min
22127,13,Cr.min
22128,24,Cr.min
22129,-,Cr.min
22130,16,Cr.min
22131,21,Cr.min
22132,11.5,Cr.min
22133,15.5,Cr.min
22134,-,Cr.min
22135,27,Cr.min
22136,8,Cr.min
22137,18,Cr.min
22138,11.5,Cr.min
22139,20,Cr.min
22140,-,Cr.min
22141,0.8,Cr.min
22142,13,Cr.min
22143,11.5,Cr.min
22144,24.5,Cr.min
22145,11.5,Cr.min
22146,25,Cr.min
22147,-,Cr.min
22148,0.8,Cr.min
22149,12,Cr.min
22150,6,Cr.min
22151,-,Cr.min
22152,8,Cr.min
22153,11.5,Cr.min
22154,0.5,Cr.min
22155,0.6,Cr.min
22156,18,Cr.min
22157,27,Cr.min
22158,-,Cr.min
22159,18,Cr.min
22160,12,Cr.min
22161,0.6,Cr.min
22162,0.5,Cr.min
22163,18,Cr.min
22164,1.5,Cr.min
22165,17,Cr.min
22166,-,Cr.min
22167,24,Cr.min
22168,18,Cr.min
22169,1,Cr.min
22170,3,Cr.min
22171,1.5,Cr.min
22172,25,Cr.min
22173,23,Cr.min
22174,-,Cr.min
22175,23,Cr.min
22176,18,Cr.min
22177,21,Cr.min
22178,0.9,Cr.min
22179,11.5,Cr.min
22180,-,Cr.min
22181,2,Cr.min
22182,25,Cr.min
22183,0.3,Cr.min
22184,13,Cr.min
22185,25,Cr.min
22186,24,Cr.min
22187,0.9,Cr.min
22188,11.5,Cr.min
22189,0.8,Cr.min
22190,16,Cr.min
22191,0.7,Cr.min
22192,24,Cr.min
22193,18,Cr.min
22194,0.4,Cr.min
22195,11.5,Cr.min
22196,18,Cr.min
22197,-,Cr.min
