index:ID,name,:LABEL
6,-,N.min
9,0.15,N.min
17,0.12,N.min
19,0.16,N.min
36,0.22,N.min
46,0.12,N.min
50,0.12,N.min
54,-,N.min
69,0.2,N.min
70,0.1,N.min
77,0.12,N.min
83,0.015,N.min
85,0.18,N.min
87,0.12,N.min
93,0.12,N.min
95,0.19,N.min
100,0.12,N.min
110,0.12,N.min
114,0.2,N.min
119,0.12,N.min
127,-,N.min
131,0.1,N.min
138,0.23,N.min
147,0.12,N.min
153,0.03,N.min
163,0.12,N.min
165,0.12,N.min
191,-,N.min
192,-,N.min
196,0.12,N.min
209,0.12,N.min
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
