index:ID,name,:LABEL
17001,0.04,P.max
17002,0.035,P.max
17003,0.04,P.max
17004,0.03,P.max
17005,0.035,P.max
17006,0.02,P.max
17007,0.03,P.max
17008,0.06,P.max
17009,0.035,P.max
17010,0.035,P.max
17011,0.04,P.max
17012,0.03,P.max
17013,0.035,P.max
17014,0.04,P.max
17015,0.03,P.max
17016,0.06,P.max
17017,0.03,P.max
17018,0.03,P.max
17019,0.06,P.max
17020,0.03,P.max
17021,0.035,P.max
17022,0.06,P.max
17023,0.035,P.max
17024,0.06,P.max
17025,0.04,P.max
17026,0.04,P.max
17027,0.03,P.max
17028,0.035,P.max
17029,0.03,P.max
17030,0.035,P.max
17031,0.06,P.max
17032,0.04,P.max
17033,0.08,P.max
17034,0.04,P.max
17035,0.03,P.max
17036,0.03,P.max
17037,0.025,P.max
17038,0.035,P.max
17039,0.03,P.max
17040,0.035,P.max
17041,0.07,P.max
17042,0.04,P.max
17043,0.04,P.max
17044,0.02,P.max
17045,0.03,P.max
17046,0.04,P.max
17047,0.03,P.max
17048,0.035,P.max
17049,0.025,P.max
17050,0.035,P.max
17051,0.04,P.max
17052,0.02,P.max
17053,0.03,P.max
17054,0.035,P.max
17055,0.03,P.max
17056,0.035,P.max
17057,0.025,P.max
17058,0.04,P.max
17059,0.035,P.max
17060,0.04,P.max
17061,0.02,P.max
17062,0.03,P.max
17063,0.04,P.max
17064,0.03,P.max
17065,0.028,P.max
17066,0.035,P.max
17067,0.04,P.max
17068,0.015,P.max
17069,0.03,P.max
17070,0.04,P.max
17071,0.035,P.max
17072,0.03,P.max
17073,0.035,P.max
17074,0.04,P.max
17075,0.025,P.max
17076,0.06,P.max
17077,0.035,P.max
17078,0.035,P.max
17079,0.04,P.max
17080,0.03,P.max
17081,0.035,P.max
17082,0.04,P.max
17083,0.02,P.max
17084,0.06,P.max
17085,0.03,P.max
17086,0.035,P.max
17087,0.035,P.max
17088,0.03,P.max
17089,0.035,P.max
17090,0.04,P.max
17091,0.035,P.max
17092,0.06,P.max
17093,0.035,P.max
17094,0.04,P.max
17095,0.06,P.max
17096,0.035,P.max
17097,0.03,P.max
17098,0.035,P.max
17099,0.06,P.max
17100,0.035,P.max
17101,0.09,P.max
17102,0.04,P.max
17103,0.04,P.max
17104,0.03,P.max
17105,0.025,P.max
17106,0.035,P.max
17107,0.03,P.max
17108,0.035,P.max
17109,0.06,P.max
17110,0.035,P.max
17111,0.07,P.max
17112,0.04,P.max
17113,0.03,P.max
17114,0.03,P.max
17115,0.03,P.max
17116,0.03,P.max
17117,0.035,P.max
17118,0.06,P.max
17119,0.035,P.max
17120,0.04,P.max
17121,0.02,P.max
17122,0.03,P.max
17123,0.04,P.max
17124,0.03,P.max
17125,0.035,P.max
17126,0.025,P.max
17127,0.035,P.max
17128,0.04,P.max
17129,0.02,P.max
17130,0.03,P.max
17131,0.035,P.max
17132,0.03,P.max
17133,0.03,P.max
17134,0.025,P.max
17135,0.035,P.max
17136,0.04,P.max
17137,0.03,P.max
17138,0.03,P.max
17139,0.04,P.max
17140,0.03,P.max
17141,0.03,P.max
17142,0.035,P.max
17143,0.035,P.max
17144,0.04,P.max
17145,0.02,P.max
17146,0.03,P.max
17147,0.035,P.max
17148,0.035,P.max
17149,0.03,P.max
17150,0.03,P.max
17151,0.035,P.max
17152,0.04,P.max
17153,0.03,P.max
17154,0.06,P.max
17155,0.04,P.max
17156,0.035,P.max
17157,0.04,P.max
17158,0.03,P.max
17159,0.035,P.max
17160,0.04,P.max
17161,0.03,P.max
17162,0.06,P.max
17163,0.035,P.max
17164,0.03,P.max
17165,0.035,P.max
17166,0.03,P.max
17167,0.035,P.max
17168,0.06,P.max
17169,0.035,P.max
17170,0.06,P.max
17171,0.04,P.max
17172,0.04,P.max
17173,0.03,P.max
17174,0.035,P.max
17175,0.03,P.max
17176,0.035,P.max
17177,0.06,P.max
17178,0.04,P.max
17179,0.09,P.max
17180,0.04,P.max
17181,0.04,P.max
17182,0.03,P.max
17183,0.035,P.max
17184,0.03,P.max
17185,0.035,P.max
17186,0.06,P.max
17187,0.04,P.max
17188,0.07,P.max
17189,0.04,P.max
17190,0.02,P.max
17191,0.03,P.max
17192,0.035,P.max
17193,0.03,P.max
17194,0.035,P.max
17195,0.06,P.max
17196,0.035,P.max
17197,0.04,P.max
17198,0.025,P.max
17199,0.03,P.max
17200,0.04,P.max
17201,0.04,P.max
17202,0.03,P.max
17203,0.035,P.max
17204,0.025,P.max
17205,0.035,P.max
17206,0.04,P.max
17207,0.03,P.max
17208,0.03,P.max
17209,0.035,P.max
17210,0.04,P.max
17211,0.03,P.max
17212,0.028,P.max
17213,0.035,P.max
17214,0.03,P.max
17215,0.035,P.max
17216,0.04,P.max
17217,0.03,P.max
17218,0.03,P.max
17219,0.04,P.max
17220,0.03,P.max
17221,0.03,P.max
17222,0.035,P.max
17223,0.04,P.max
17224,0.02,P.max
17225,0.06,P.max
