index:ID,name,:LABEL
19001,0.03,S.max
19002,0.025,S.max
19003,0.04,S.max
19004,0.03,S.max
19005,0.03,S.max
19006,0.02,S.max
19007,0.03,S.max
19008,0.04,S.max
19009,0.02,S.max
19010,0.025,S.max
19011,0.04,S.max
19012,0.03,S.max
19013,0.03,S.max
19014,0.03,S.max
19015,0.02,S.max
19016,0.04,S.max
19017,0.02,S.max
19018,0.01,S.max
19019,0.035,S.max
19020,0.03,S.max
19021,0.03,S.max
19022,0.04,S.max
19023,0.025,S.max
19024,0.04,S.max
19025,0.03,S.max
19026,0.04,S.max
19027,0.03,S.max
19028,0.025,S.max
19029,0.03,S.max
19030,0.03,S.max
19031,0.04,S.max
19032,0.03,S.max
19033,0.04,S.max
19034,0.03,S.max
19035,0.02,S.max
19036,0.03,S.max
19037,0.02,S.max
19038,0.025,S.max
19039,0.03,S.max
19040,0.03,S.max
19041,0.04,S.max
19042,0.03,S.max
19043,0.03,S.max
19044,0.02,S.max
19045,0.03,S.max
19046,0.03,S.max
19047,0.03,S.max
19048,0.03,S.max
19049,0.025,S.max
19050,0.025,S.max
19051,0.03,S.max
19052,0.02,S.max
19053,0.03,S.max
19054,0.025,S.max
19055,0.03,S.max
19056,0.025,S.max
19057,0.025,S.max
19058,0.03,S.max
19059,0.03,S.max
19060,0.03,S.max
19061,0.015,S.max
19062,0.03,S.max
19063,0.03,S.max
19064,0.03,S.max
19065,0.012,S.max
19066,0.03,S.max
19067,0.03,S.max
19068,0.015,S.max
19069,0.03,S.max
19070,0.03,S.max
19071,0.025,S.max
19072,0.025,S.max
19073,0.03,S.max
19074,0.03,S.max
19075,0.025,S.max
19076,0.04,S.max
19077,0.025,S.max
19078,0.025,S.max
19079,0.04,S.max
19080,0.03,S.max
19081,0.03,S.max
19082,0.03,S.max
19083,0.01,S.max
19084,0.04,S.max
19085,0.01,S.max
19086,0.025,S.max
19087,0.025,S.max
19088,0.03,S.max
19089,0.03,S.max
19090,0.03,S.max
19091,0.015,S.max
19092,0.04,S.max
19093,0.025,S.max
19094,0.04,S.max
19095,0.035,S.max
19096,0.025,S.max
19097,0.03,S.max
19098,0.03,S.max
19099,0.04,S.max
19100,0.03,S.max
19101,0.04,S.max
19102,0.03,S.max
19103,0.04,S.max
19104,0.03,S.max
19105,0.02,S.max
19106,0.025,S.max
19107,0.03,S.max
19108,0.03,S.max
19109,0.04,S.max
19110,0.03,S.max
19111,0.04,S.max
19112,0.03,S.max
19113,0.02,S.max
19114,0.03,S.max
19115,0.02,S.max
19116,0.03,S.max
19117,0.03,S.max
19118,0.04,S.max
19119,0.025,S.max
19120,0.03,S.max
19121,0.02,S.max
19122,0.03,S.max
19123,0.03,S.max
19124,0.03,S.max
19125,0.025,S.max
19126,0.025,S.max
19127,0.025,S.max
19128,0.03,S.max
19129,0.02,S.max
19130,0.03,S.max
19131,0.03,S.max
19132,0.03,S.max
19133,0.04,S.max
19134,0.025,S.max
19135,0.03,S.max
19136,0.03,S.max
19137,0.025,S.max
19138,0.03,S.max
19139,0.03,S.max
19140,0.03,S.max
19141,0.025,S.max
19142,0.03,S.max
19143,0.025,S.max
19144,0.03,S.max
19145,0.015,S.max
19146,0.03,S.max
19147,0.025,S.max
19148,0.025,S.max
19149,0.025,S.max
19150,0.03,S.max
19151,0.03,S.max
19152,0.03,S.max
19153,0.01,S.max
19154,0.04,S.max
19155,0.03,S.max
19156,0.025,S.max
19157,0.04,S.max
19158,0.03,S.max
19159,0.03,S.max
19160,0.03,S.max
19161,0.02,S.max
19162,0.04,S.max
19163,0.025,S.max
19164,0.01,S.max
19165,0.025,S.max
19166,0.03,S.max
19167,0.03,S.max
19168,0.04,S.max
19169,0.025,S.max
19170,0.04,S.max
19171,0.04,S.max
19172,0.04,S.max
19173,0.03,S.max
19174,0.025,S.max
19175,0.03,S.max
19176,0.03,S.max
19177,0.04,S.max
19178,0.03,S.max
19179,0.04,S.max
19180,0.03,S.max
19181,0.04,S.max
19182,0.03,S.max
19183,0.025,S.max
19184,0.03,S.max
19185,0.03,S.max
19186,0.04,S.max
19187,0.03,S.max
19188,0.04,S.max
19189,0.03,S.max
19190,0.025,S.max
19191,0.03,S.max
19192,0.025,S.max
19193,0.03,S.max
19194,0.03,S.max
19195,0.04,S.max
19196,0.025,S.max
19197,0.03,S.max
19198,0.02,S.max
19199,0.03,S.max
19200,0.03,S.max
19201,0.03,S.max
19202,0.03,S.max
19203,0.025,S.max
19204,0.025,S.max
19205,0.03,S.max
19206,0.03,S.max
19207,0.02,S.max
19208,0.03,S.max
19209,0.025,S.max
19210,0.03,S.max
19211,0.03,S.max
19212,0.012,S.max
19213,0.03,S.max
19214,0.03,S.max
19215,0.03,S.max
19216,0.03,S.max
19217,0.025,S.max
19218,0.03,S.max
19219,0.03,S.max
19220,0.03,S.max
19221,0.025,S.max
19222,0.03,S.max
19223,0.03,S.max
19224,0.015,S.max
19225,0.04,S.max
