index:ID,name,:LABEL
2,0.05,V.max
7,0.05,V.max
10,0.05,V.max
15,0.35,V.max
18,0.05,V.max
23,0.08,V.max
44,0.03,V.max
47,0.4,V.max
48,3,V.max
49,0.05,V.max
52,0.05,V.max
57,0.05,V.max
59,0.15,V.max
61,0.3,V.max
65,0.08,V.max
68,0.05,V.max
71,0.05,V.max
72,0.08,V.max
75,0.05,V.max
78,0.05,V.max
83,0.23,V.max
86,0.05,V.max
87,0.08,V.max
91,0.08,V.max
106,0.05,V.max
115,0.3,V.max
121,0.05,V.max
126,0.05,V.max
129,0.05,V.max
134,0.05,V.max
137,0.03,V.max
141,0.08,V.max
145,0.05,V.max
148,0.05,V.max
149,0.08,V.max
153,0.25,V.max
156,0.05,V.max
161,0.08,V.max
164,0.05,V.max
165,0.08,V.max
169,0.08,V.max
190,0.03,V.max
194,9,V.max
198,0.05,V.max
202,0.3,V.max
204,0.05,V.max
205,0.15,V.max
207,0.3,V.max
212,0.08,V.max
217,0.03,V.max
221,0.08,V.max
224,0.05,V.max
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
