index:ID,name,:LABEL
2,-,V.min
7,-,V.min
10,-,V.min
15,0.25,V.min
18,-,V.min
23,-,V.min
44,-,V.min
47,0.25,V.min
48,0.4,V.min
49,-,V.min
52,-,V.min
57,-,V.min
59,0.05,V.min
61,0.2,V.min
65,-,V.min
68,-,V.min
71,-,V.min
72,-,V.min
75,-,V.min
78,-,V.min
83,0.18,V.min
86,-,V.min
87,-,V.min
91,-,V.min
106,-,V.min
115,-,V.min
121,-,V.min
126,-,V.min
129,-,V.min
134,-,V.min
137,-,V.min
141,-,V.min
145,-,V.min
148,-,V.min
149,-,V.min
153,0.18,V.min
156,-,V.min
161,-,V.min
164,-,V.min
165,-,V.min
169,-,V.min
190,-,V.min
194,2,V.min
198,-,V.min
202,0.2,V.min
204,-,V.min
205,0.05,V.min
207,0.22,V.min
212,-,V.min
217,-,V.min
221,-,V.min
224,-,V.min
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
