:START_ID,:END_ID,relation,:TYPE
1,11000,C-max,C-max
2,11001,C-max,C-max
3,11002,C-max,C-max
4,11003,C-max,C-max
5,11004,C-max,C-max
6,11005,C-max,C-max
7,11006,C-max,C-max
8,11007,C-max,C-max
9,11008,C-max,C-max
10,11009,C-max,C-max
11,11010,C-max,C-max
12,11011,C-max,C-max
13,11012,C-max,C-max
14,11013,C-max,C-max
15,11014,C-max,C-max
16,11015,C-max,C-max
17,11016,C-max,C-max
18,11017,C-max,C-max
19,11018,C-max,C-max
20,11019,C-max,C-max
21,11020,C-max,C-max
22,11021,C-max,C-max
23,11022,C-max,C-max
24,11023,C-max,C-max
25,11024,C-max,C-max
26,11025,C-max,C-max
27,11026,C-max,C-max
28,11027,C-max,C-max
29,11028,C-max,C-max
30,11029,C-max,C-max
31,11030,C-max,C-max
32,11031,C-max,C-max
33,11032,C-max,C-max
34,11033,C-max,C-max
35,11034,C-max,C-max
36,11035,C-max,C-max
37,11036,C-max,C-max
38,11037,C-max,C-max
39,11038,C-max,C-max
40,11039,C-max,C-max
41,11040,C-max,C-max
42,11041,C-max,C-max
43,11042,C-max,C-max
44,11043,C-max,C-max
45,11044,C-max,C-max
46,11045,C-max,C-max
47,11046,C-max,C-max
48,11047,C-max,C-max
49,11048,C-max,C-max
50,11049,C-max,C-max
51,11050,C-max,C-max
52,11051,C-max,C-max
53,11052,C-max,C-max
54,11053,C-max,C-max
55,11054,C-max,C-max
56,11055,C-max,C-max
57,11056,C-max,C-max
58,11057,C-max,C-max
59,11058,C-max,C-max
60,11059,C-max,C-max
61,11060,C-max,C-max
62,11061,C-max,C-max
63,11062,C-max,C-max
64,11063,C-max,C-max
65,11064,C-max,C-max
66,11065,C-max,C-max
67,11066,C-max,C-max
68,11067,C-max,C-max
69,11068,C-max,C-max
70,11069,C-max,C-max
71,11070,C-max,C-max
72,11071,C-max,C-max
73,11072,C-max,C-max
74,11073,C-max,C-max
75,11074,C-max,C-max
76,11075,C-max,C-max
77,11076,C-max,C-max
78,11077,C-max,C-max
79,11078,C-max,C-max
80,11079,C-max,C-max
81,11080,C-max,C-max
82,11081,C-max,C-max
83,11082,C-max,C-max
84,11083,C-max,C-max
85,11084,C-max,C-max
86,11085,C-max,C-max
87,11086,C-max,C-max
88,11087,C-max,C-max
89,11088,C-max,C-max
90,11089,C-max,C-max
91,11090,C-max,C-max
92,11091,C-max,C-max
93,11092,C-max,C-max
94,11093,C-max,C-max
95,11094,C-max,C-max
96,11095,C-max,C-max
97,11096,C-max,C-max
98,11097,C-max,C-max
99,11098,C-max,C-max
100,11099,C-max,C-max
101,11100,C-max,C-max
102,11101,C-max,C-max
103,11102,C-max,C-max
104,11103,C-max,C-max
105,11104,C-max,C-max
106,11105,C-max,C-max
107,11106,C-max,C-max
108,11107,C-max,C-max
109,11108,C-max,C-max
110,11109,C-max,C-max
111,11110,C-max,C-max
112,11111,C-max,C-max
113,11112,C-max,C-max
114,11113,C-max,C-max
115,11114,C-max,C-max
116,11115,C-max,C-max
117,11116,C-max,C-max
118,11117,C-max,C-max
119,11118,C-max,C-max
120,11119,C-max,C-max
121,11120,C-max,C-max
122,11121,C-max,C-max
123,11122,C-max,C-max
124,11123,C-max,C-max
125,11124,C-max,C-max
126,11125,C-max,C-max
127,11126,C-max,C-max
128,11127,C-max,C-max
129,11128,C-max,C-max
130,11129,C-max,C-max
131,11130,C-max,C-max
132,11131,C-max,C-max
133,11132,C-max,C-max
134,11133,C-max,C-max
135,11134,C-max,C-max
136,11135,C-max,C-max
137,11136,C-max,C-max
138,11137,C-max,C-max
139,11138,C-max,C-max
140,11139,C-max,C-max
