index:ID,name,:LABEL
27001,Cu+W+V≤0.5,更多
27002,Ni余量；N+C：0.2,更多
27003,Cu+W+V≤0.5,更多
27004,Cu+W+V≤0.5,更多
27005,Nb：8C~1.0,更多
27006,Cr+Ni+Cu+Mo+V≤1.00,更多
27007,Nb：8C~1.0,更多
27008,残余元素Ni+Cr+Cu+Mo+V≤1.0,更多
27009,残余元素Ni+Cr+Cu+Mo+V≤1.0,更多
27010,Cu+W+V≤0.5,更多
27011,Cu+W+V≤0.5,更多
27012,Alt≤0.02,更多
27013,Cu+W+V≤0.5,更多
27014,Cr+Ni+Cu+Mo+V≤1.00,更多
27015,残余元素Ni+Cr+Cu+Mo+V≤1.0,更多
27016,Ti：5(wc - 0.03)~0.80,更多
27017,残余元素Ni+Cr+Cu+Mo+V≤1.0,更多
27018,Nb：8C~1.00,更多
27019,Cu+W+V≤0.5,更多
27020,Cu+W+V≤0.5,更多
27021,Cu+W+V≤0.5,更多
27022,Cr+Ni+Cu+Mo+V≤1.00,更多
27023,Nb：8C~1.00,更多
27024,残余元素Ni+Cr+Cu+Mo+V≤1.0,更多
