:START_ID,:END_ID,relation,:TYPE
1,13001,Si-max,Si-max
2,13002,Si-max,Si-max
3,13003,Si-max,Si-max
4,13004,Si-max,Si-max
5,13005,Si-max,Si-max
6,13006,Si-max,Si-max
7,13007,Si-max,Si-max
8,13008,Si-max,Si-max
9,13009,Si-max,Si-max
10,13010,Si-max,Si-max
11,13011,Si-max,Si-max
12,13012,Si-max,Si-max
13,13013,Si-max,Si-max
14,13014,Si-max,Si-max
15,13015,Si-max,Si-max
16,13016,Si-max,Si-max
17,13017,Si-max,Si-max
18,13018,Si-max,Si-max
19,13019,Si-max,Si-max
20,13020,Si-max,Si-max
21,13021,Si-max,Si-max
22,13022,Si-max,Si-max
23,13023,Si-max,Si-max
24,13024,Si-max,Si-max
25,13025,Si-max,Si-max
26,13026,Si-max,Si-max
27,13027,Si-max,Si-max
28,13028,Si-max,Si-max
29,13029,Si-max,Si-max
30,13030,Si-max,Si-max
31,13031,Si-max,Si-max
32,13032,Si-max,Si-max
33,13033,Si-max,Si-max
34,13034,Si-max,Si-max
35,13035,Si-max,Si-max
36,13036,Si-max,Si-max
37,13037,Si-max,Si-max
38,13038,Si-max,Si-max
39,13039,Si-max,Si-max
40,13040,Si-max,Si-max
41,13041,Si-max,Si-max
42,13042,Si-max,Si-max
43,13043,Si-max,Si-max
44,13044,Si-max,Si-max
45,13045,Si-max,Si-max
46,13046,Si-max,Si-max
47,13047,Si-max,Si-max
48,13048,Si-max,Si-max
49,13049,Si-max,Si-max
50,13050,Si-max,Si-max
51,13051,Si-max,Si-max
52,13052,Si-max,Si-max
53,13053,Si-max,Si-max
54,13054,Si-max,Si-max
55,13055,Si-max,Si-max
56,13056,Si-max,Si-max
57,13057,Si-max,Si-max
58,13058,Si-max,Si-max
59,13059,Si-max,Si-max
60,13060,Si-max,Si-max
61,13061,Si-max,Si-max
62,13062,Si-max,Si-max
63,13063,Si-max,Si-max
64,13064,Si-max,Si-max
65,13065,Si-max,Si-max
66,13066,Si-max,Si-max
67,13067,Si-max,Si-max
68,13068,Si-max,Si-max
69,13069,Si-max,Si-max
70,13070,Si-max,Si-max
71,13071,Si-max,Si-max
72,13072,Si-max,Si-max
73,13073,Si-max,Si-max
74,13074,Si-max,Si-max
75,13075,Si-max,Si-max
76,13076,Si-max,Si-max
77,13077,Si-max,Si-max
78,13078,Si-max,Si-max
79,13079,Si-max,Si-max
80,13080,Si-max,Si-max
81,13081,Si-max,Si-max
82,13082,Si-max,Si-max
83,13083,Si-max,Si-max
84,13084,Si-max,Si-max
85,13085,Si-max,Si-max
86,13086,Si-max,Si-max
87,13087,Si-max,Si-max
88,13088,Si-max,Si-max
89,13089,Si-max,Si-max
90,13090,Si-max,Si-max
91,13091,Si-max,Si-max
92,13092,Si-max,Si-max
93,13093,Si-max,Si-max
94,13094,Si-max,Si-max
95,13095,Si-max,Si-max
96,13096,Si-max,Si-max
97,13097,Si-max,Si-max
98,13098,Si-max,Si-max
99,13099,Si-max,Si-max
100,13100,Si-max,Si-max
101,13101,Si-max,Si-max
102,13102,Si-max,Si-max
103,13103,Si-max,Si-max
104,13104,Si-max,Si-max
105,13105,Si-max,Si-max
106,13106,Si-max,Si-max
107,13107,Si-max,Si-max
108,13108,Si-max,Si-max
109,13109,Si-max,Si-max
110,13110,Si-max,Si-max
